Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Literacy (%)
Afghanistan ,31056997,647500,48,36
Albania ,3581655,28748,124.6,86.5
Algeria ,32930091,2381740,13.8,70
American Samoa ,57794,199,290.4,97
Andorra ,71201,468,152.1,100
Angola ,12127071,1246700,9.7,42
Anguilla ,13477,102,132.1,95
Antigua & Barbuda ,69108,443,156,89
Argentina ,39921833,2766890,14.4,97.1
Armenia ,2976372,29800,99.9,98.6
Aruba ,71891,193,372.5,97
Australia ,20264082,7686850,2.6,100
Austria ,8192880,83870,97.7,98
Azerbaijan ,7961619,86600,91.9,97
Bahamas. The ,303770,13940,21.8,95.6
Bahrain ,698585,665,"1,050.50",89.1
Bangladesh ,147365352,144000,"1,023.40",43.1
Barbados ,279912,431,649.5,97.4
Belarus ,10293011,207600,49.6,99.6
Belgium ,10379067,30528,340,98
Belize ,287730,22966,12.5,94.1
Benin ,7862944,112620,69.8,40.9
Bermuda ,65773,53,"1,241.00",98
Bhutan ,2279723,47000,48.5,42.2
Bolivia ,8989046,1098580,8.2,87.2
Bosnia & Herzegovina ,4498976,51129,88,
Botswana ,1639833,600370,2.7,79.8
Brazil ,188078227,8511965,22.1,86.4
British Virgin Is. ,23098,153,151,97.8
Brunei ,379444,5770,65.8,93.9
Bulgaria ,7385367,110910,66.6,98.6
Burkina Faso ,13902972,274200,50.7,26.6
Burma ,47382633,678500,69.8,85.3
Burundi ,8090068,27830,290.7,51.6
Cambodia ,13881427,181040,76.7,69.4
Cameroon ,17340702,475440,36.5,79
Canada ,33098932,9984670,3.3,97
Cape Verde ,420979,4033,104.4,76.6
Cayman Islands ,45436,262,173.4,98
Central African Rep. ,4303356,622984,6.9,51
Chad ,9944201,1284000,7.7,47.5
Chile ,16134219,756950,21.3,96.2
China ,1313973713,9596960,136.9,90.9
Colombia ,43593035,1138910,38.3,92.5
Comoros ,690948,2170,318.4,56.5
Congo. Dem. Rep. ,62660551,2345410,26.7,65.5
Congo. Repub. of the ,3702314,342000,10.8,83.8
Cook Islands ,21388,240,89.1,95
Costa Rica ,4075261,51100,79.8,96
Cote d'Ivoire ,17654843,322460,54.8,50.9
Croatia ,4494749,56542,79.5,98.5
Cuba ,11382820,110860,102.7,97
Cyprus ,784301,9250,84.8,97.6
Czech Republic ,10235455,78866,129.8,99.9
Denmark ,5450661,43094,126.5,100
Djibouti ,486530,23000,21.2,67.9
Dominica ,68910,754,91.4,94
Dominican Republic ,9183984,48730,188.5,84.7
East Timor ,1062777,15007,70.8,58.6
Ecuador ,13547510,283560,47.8,92.5
Egypt ,78887007,1001450,78.8,57.7
El Salvador ,6822378,21040,324.3,80.2
Equatorial Guinea ,540109,28051,19.3,85.7
Eritrea ,4786994,121320,39.5,58.6
Estonia ,1324333,45226,29.3,99.8
Ethiopia ,74777981,1127127,66.3,42.7
Faroe Islands ,47246,1399,33.8,
Fiji ,905949,18270,49.6,93.7
Finland ,5231372,338145,15.5,100
France ,60876136,547030,111.3,99
French Guiana ,199509,91000,2.2,83
French Polynesia ,274578,4167,65.9,98
Gabon ,1424906,267667,5.3,63.2
Gambia. The ,1641564,11300,145.3,40.1
Gaza Strip ,1428757,360,"3,968.80",
Georgia ,4661473,69700,66.9,99
Germany ,82422299,357021,230.9,99
Ghana ,22409572,239460,93.6,74.8
Gibraltar ,27928,7,"3,989.70",
Greece ,10688058,131940,81,97.5
Greenland ,56361,2166086,0,
Grenada ,89703,344,260.8,98
Guadeloupe ,452776,1780,254.4,90
Guam ,171019,541,316.1,99
Guatemala ,12293545,108890,112.9,70.6
Guernsey ,65409,78,838.6,
Guinea ,9690222,245857,39.4,35.9
Guinea-Bissau ,1442029,36120,39.9,42.4
Guyana ,767245,214970,3.6,98.8
Haiti ,8308504,27750,299.4,52.9
Honduras ,7326496,112090,65.4,76.2
Hong Kong ,6940432,1092,"6,355.70",93.5
Hungary ,9981334,93030,107.3,99.4
Iceland ,299388,103000,2.9,99.9
India ,1095351995,3287590,333.2,59.5
Indonesia ,245452739,1919440,127.9,87.9
Iran ,68688433,1648000,41.7,79.4
Iraq ,26783383,437072,61.3,40.4
Ireland ,4062235,70280,57.8,98
Isle of Man ,75441,572,131.9,
Israel ,6352117,20770,305.8,95.4
Italy ,58133509,301230,193,98.6
Jamaica ,2758124,10991,250.9,87.9
Japan ,127463611,377835,337.4,99
Jersey ,91084,116,785.2,
Jordan ,5906760,92300,64,91.3
Kazakhstan ,15233244,2717300,5.6,98.4
Kenya ,34707817,582650,59.6,85.1
Kiribati ,105432,811,130,
Korea. North ,23113019,120540,191.8,99
Korea. South ,48846823,98480,496,97.9
Kuwait ,2418393,17820,135.7,83.5
Kyrgyzstan ,5213898,198500,26.3,97
Laos ,6368481,236800,26.9,66.4
Latvia ,2274735,64589,35.2,99.8
Lebanon ,3874050,10400,372.5,87.4
Lesotho ,2022331,30355,66.6,84.8
Liberia ,3042004,111370,27.3,57.5
Libya ,5900754,1759540,3.4,82.6
Liechtenstein ,33987,160,212.4,100
Lithuania ,3585906,65200,55,99.6
Luxembourg ,474413,2586,183.5,100
Macau ,453125,28,"16,183.00",94.5
Macedonia ,2050554,25333,80.9,
Madagascar ,18595469,587040,31.7,68.9
Malawi ,13013926,118480,109.8,62.7
Malaysia ,24385858,329750,74,88.7
Maldives ,359008,300,"1,196.70",97.2
Mali ,11716829,1240000,9.5,46.4
Malta ,400214,316,"1,266.50",92.8
Marshall Islands ,60422,11854,5.1,93.7
Martinique ,436131,1100,396.5,97.7
Mauritania ,3177388,1030700,3.1,41.7
Mauritius ,1240827,2040,608.3,85.6
Mayotte ,201234,374,538.1,
Mexico ,107449525,1972550,54.5,92.2
Micronesia. Fed. St. ,108004,702,153.9,89
Moldova ,4466706,33843,132,99.1
Monaco ,32543,2,"16,271.50",99
Mongolia ,2832224,1564116,1.8,97.8
Montserrat ,9439,102,92.5,97
Morocco ,33241259,446550,74.4,51.7
Mozambique ,19686505,801590,24.6,47.8
Namibia ,2044147,825418,2.5,84
Nauru ,13287,21,632.7,
Nepal ,28287147,147181,192.2,45.2
Netherlands ,16491461,41526,397.1,99
Netherlands Antilles ,221736,960,231,96.7
New Caledonia ,219246,19060,11.5,91
New Zealand ,4076140,268680,15.2,99
Nicaragua ,5570129,129494,43,67.5
Niger ,12525094,1267000,9.9,17.6
Nigeria ,131859731,923768,142.7,68
N. Mariana Islands ,82459,477,172.9,97
Norway ,4610820,323802,14.2,100
Oman ,3102229,212460,14.6,75.8
Pakistan ,165803560,803940,206.2,45.7
Palau ,20579,458,44.9,92
Panama ,3191319,78200,40.8,92.6
Papua New Guinea ,5670544,462840,12.3,64.6
Paraguay ,6506464,406750,16,94
Peru ,28302603,1285220,22,90.9
Philippines ,89468677,300000,298.2,92.6
Poland ,38536869,312685,123.3,99.8
Portugal ,10605870,92391,114.8,93.3
Puerto Rico ,3927188,13790,284.8,94.1
Qatar ,885359,11437,77.4,82.5
Reunion ,787584,2517,312.9,88.9
Romania ,22303552,237500,93.9,98.4
Russia ,142893540,17075200,8.4,99.6
Rwanda ,8648248,26338,328.4,70.4
Saint Helena ,7502,413,18.2,97
Saint Kitts & Nevis ,39129,261,149.9,97
Saint Lucia ,168458,616,273.5,67
St Pierre & Miquelon ,7026,242,29,99
Saint Vincent and the Grenadines ,117848,389,303,96
Samoa ,176908,2944,60.1,99.7
San Marino ,29251,61,479.5,96
Sao Tome & Principe ,193413,1001,193.2,79.3
Saudi Arabia ,27019731,1960582,13.8,78.8
Senegal ,11987121,196190,61.1,40.2
Serbia ,9396411,88361,106.3,93
Seychelles ,81541,455,179.2,58
Sierra Leone ,6005250,71740,83.7,31.4
Singapore ,4492150,693,"6,482.20",92.5
Slovakia ,5439448,48845,111.4,
Slovenia ,2010347,20273,99.2,99.7
Solomon Islands ,552438,28450,19.4,
Somalia ,8863338,637657,13.9,37.8
South Africa ,44187637,1219912,36.2,86.4
Spain ,40397842,504782,80,97.9
Sri Lanka ,20222240,65610,308.2,92.3
Sudan ,41236378,2505810,16.5,61.1
Suriname ,439117,163270,2.7,93
Swaziland ,1136334,17363,65.5,81.6
Sweden ,9016596,449964,20,99
Switzerland ,7523934,41290,182.2,99
Syria ,18881361,185180,102,76.9
Taiwan ,23036087,35980,640.3,96.1
Tajikistan ,7320815,143100,51.2,99.4
Tanzania ,37445392,945087,39.6,78.2
Thailand ,64631595,514000,125.7,92.6
Togo ,5548702,56785,97.7,60.9
Tonga ,114689,748,153.3,98.5
Trinidad & Tobago ,1065842,5128,207.9,98.6
Tunisia ,10175014,163610,62.2,74.2
Turkey ,70413958,780580,90.2,86.5
Turkmenistan ,5042920,488100,10.3,98
Turks & Caicos Is ,21152,430,49.2,98
Tuvalu ,11810,26,454.2,
Uganda ,28195754,236040,119.5,69.9
Ukraine ,46710816,603700,77.4,99.7
United Arab Emirates ,2602713,82880,31.4,77.9
United Kingdom ,60609153,244820,247.6,99
United States ,298444215,9631420,31,97
Uruguay ,3431932,176220,19.5,98
Uzbekistan ,27307134,447400,61,99.3
Vanuatu ,208869,12200,17.1,53
Venezuela ,25730435,912050,28.2,93.4
Vietnam ,84402966,329560,256.1,90.3
Virgin Islands ,108605,1910,56.9,
Wallis and Futuna ,16025,274,58.5,50
West Bank ,2460492,5860,419.9,
Western Sahara ,273008,266000,1,
Yemen ,21456188,527970,40.6,50.2
Zambia ,11502010,752614,15.3,80.6
Zimbabwe ,12236805,390580,31.3,90.7
